epoch,train_loss,val_loss,val_auc,lr,time_s
1,0.61617,0.73452,0.49727,1.00e-03,55.8
2,0.61201,0.73466,0.49940,9.98e-04,52.0
3,0.61224,0.73738,0.49787,9.97e-04,53.6
4,0.61207,0.73603,0.49639,9.94e-04,54.2
5,0.61205,0.73596,0.49884,9.90e-04,51.9
6,0.61148,0.73476,0.50041,9.86e-04,55.3
7,0.61210,0.73457,0.49796,9.81e-04,85.2
8,0.61148,0.73487,0.49834,9.76e-04,55.7
9,0.61150,0.73505,0.49854,9.69e-04,46.2
10,0.61093,0.73474,0.49766,9.62e-04,35.6
11,0.61135,0.73544,0.49794,9.54e-04,36.2
12,0.61124,0.73590,0.49720,9.46e-04,36.2
13,0.61135,0.73472,0.49722,9.36e-04,36.5
14,0.61108,0.73452,0.49766,9.26e-04,36.4
15,0.61100,0.73458,0.49806,9.16e-04,37.3
16,0.61086,0.73465,0.49823,9.05e-04,37.4
17,0.61078,0.73478,0.49683,8.93e-04,38.0
18,0.61064,0.73452,0.49814,8.80e-04,37.7
